time,vehicle_count,avg_speed,speed_std,avg_acceleration,acc_std,avg_co2,avg_fuel,sudden_brake_count
886,204,5.412794724434885,7.835637250757543,-0.026278117886737683,1.3437332941940143,2470.375800654687,800.8658355307002,13
887,204,5.347387935359735,7.821861299255629,-0.06540678907515074,1.3300001972947946,2395.356340370341,776.5440231945317,13
888,204,5.336756361078966,7.823395143531626,0.06329179509384593,1.2223983382548769,2516.14090097547,815.7000839244796,7
889,206,5.406559658930935,7.842091819670497,0.12161646640613348,1.1674356950632927,2601.588382353601,843.4017586684813,8
890,205,5.279089641836042,7.5757888734494685,0.05559425577480569,1.2108763789027268,2441.9701408953006,791.6569822597395,7
891,204,5.023989062752784,7.2069284633258865,-0.06070222205633053,1.4284062531133568,2350.6266267369506,762.0451053807132,16
892,205,4.972910108985339,7.037030353251725,-0.026571690046699157,1.3911872688744444,2354.3077825884816,763.2379946722888,13
893,206,4.876969185809378,6.946736630398794,-0.07180058284107999,1.5051727131924877,2419.5952477585065,784.4030581436074,17
894,204,4.615496172005989,6.93858288147303,-0.12830471281064484,1.458046613501814,2409.110586891808,781.0040637036561,18
895,203,4.451927629526829,6.855180960712306,-0.0615648958305611,1.3555719506165547,2324.0989804591823,753.4453624535287,14
896,203,4.461392857532462,6.788508261319608,0.06549448578997355,1.3532321162255376,2440.078700362275,791.0424798280148,12
897,204,4.4541921644263684,6.824598181746142,0.01466887972494756,1.3816329261688034,2522.7722332005915,817.850125348476,13
898,205,4.665197157589047,6.961773174358493,0.23273275981841707,1.2337316203928026,2775.308771155677,899.7173877509784,7
899,206,4.825249264564042,7.037800079587208,0.18269869511863096,1.2688266758523778,2660.3596819614086,862.4530784659395,8
900,206,4.780277713298347,6.957550007602137,0.09164855697750385,1.2550047537977984,2453.288808849532,795.3245389516022,11
901,207,4.957609190722555,7.088087729022212,0.2004246064739594,1.2619641543161095,2789.155938683815,904.2065603805515,9
902,207,5.077601714364093,7.106940015274457,0.1199925236415367,1.2826783487115554,2597.9372485806994,842.2161702372202,10
903,207,5.0672628572940335,7.028532779990275,0.0642112886431141,1.4458286089818828,2595.0407711808825,841.2774606435796,14
904,208,5.127687249924223,7.002352368242767,0.08478623329025824,1.3972892116826625,2584.8397332473305,837.9709788095153,15
905,209,5.26223751553029,7.099715358690772,0.15908465436168426,1.3649727416747348,2739.988238110867,888.2675050416169,11
906,209,5.222993190713434,7.146590143817134,0.025281672755082613,1.4368728803443156,2598.3597485731557,842.3533397641814,14
907,211,5.189038758941994,7.270498385589463,0.015552612690299504,1.4806130910987656,2673.500577248291,866.7121863551278,16
908,211,5.3079139204575,7.490733249953602,0.21782512759185546,1.292408549265603,3023.0044154934017,980.0155036452336,9
909,212,5.515248881567419,7.721410247388994,0.23237229092339884,1.2267432313233666,2962.420527773899,960.3758830241122,8
910,212,5.538980713687796,7.753837262635756,0.12684859199073145,1.2747995272754216,2667.9333238183353,864.9085659638746,9
911,212,5.640317209302793,7.842496582181912,0.16962523046031142,1.2944487079501026,2809.224921573777,910.7114263802251,9
912,212,5.607696697523129,7.796190311590567,0.03551544467722735,1.4357263511,2762.370925494204,895.5222101317544,16
913,213,5.561046586786745,7.702617797564101,-0.020322896194022354,1.4771347798062275,2546.1799310029055,825.4381948983475,17
914,213,5.572517021549572,7.674214713681765,0.011470434762828075,1.5289765131406874,2730.3917851480905,885.1551834491411,17
915,214,5.555377448099501,7.728191407732684,0.008900225716047021,1.4428678453043566,2726.045139155895,883.7458763527004,16
916,211,5.383473067083953,7.6052567808787845,0.06296270840010433,1.378209183422719,2746.3472665166505,890.3290217795254,14
917,211,5.3823545484350435,7.502558042752795,0.010650988219961004,1.3593450293651546,2475.681445619443,802.5828442454734,12
918,211,5.485925978103261,7.579327522385068,0.10357142966821858,1.31401631110626,2754.969784335601,893.1235034292727,10
919,212,5.410356947961629,7.533841173312217,0.0032813604203919106,1.366918218613565,2553.0771058089795,827.6735556686083,11
920,213,5.395695887662271,7.614353765069104,0.010739676545531044,1.3922657829347886,2732.2911801384143,885.7708818342963,11
921,213,5.420723854049571,7.704555748778254,0.09226468233714588,1.29212987146281,2764.0387774505525,896.0639050344145,12
922,213,5.476772162396386,7.730174686120442,0.056048308346815276,1.4023150796141064,2702.3474417257007,876.0649776729502,13
923,214,5.448458289846469,7.545496714173035,-0.0027214792676911103,1.392309689360273,2432.8215986724267,788.690505540318,12
924,213,5.29791895698883,7.43601716991907,-0.05960745126142228,1.4678085278807305,2529.675147335602,820.0885980600809,18
925,214,5.163787366460105,7.308834369873281,-0.10937495988859021,1.4335476930436892,2287.624630702089,741.6201328767324,16
926,215,5.148500870775817,7.2814190887945935,0.008731119973667033,1.3587965200383716,2529.2378527386554,819.9465175931011,13
927,217,5.15072674638594,7.384336976076799,0.049677496538932,1.2838505401122138,2605.1125169434645,844.5443973636808,12
928,216,5.162923144845198,7.523841794803901,0.11262377439099142,1.3162752996909144,2851.7072337421264,924.4847735982751,12
